Symbol,unit,lot_size,pip_size,Digits,LotSize,PipSize,VolumeInUnitsMin,VolumeInUnitsMax,VolumeInUnitsStep,Spread,TickSize,TickValue,SwapLong,SwapShort
IPG.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.019999999999999574,0.01,0.01,-6.28,1.28
K.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000005116,0.01,0.01,-6.23,1.23
GER40-F,POINTS,1,1,1,1,1,1,200,1,3,0.1,0.117695,0,0
HK50-F,USD,1,1,1,1,1,1,150,1,32,0.1,0.012866618202404773,0,0
JPN225-F,POINTS,1,1,1,1,1,1,200,1,16,0.1,0.0006385410613829523,0,0
UK100-F,POINTS,1,1,1,1,1,1,100,1,9.599999999998545,0.1,0.134974,0,0
US30-F,POINTS,1,1,1,1,1,1,150,1,5,0.1,0.1,0,0
NAS100-F,USD,1,0.1,1,1,0.1,1,150,1,3,0.1,0.1,0,0
US500-F,POINTS,1,0.1,1,1,0.1,1,100,0.01,1,0.1,0.1,0,0
XAUUSD-F,USD,100,0.1,2,100,0.1,10,5000,1,0.5,0.01,0.01,0,0
XAGUSD-F,USD,5000,0.01,3,5000,0.01,5000,250000,50,0.060000000000002274,0.001,0.001,0,0
Crude-F,USD,100,0.01,3,100,0.01,1,5000,1,0.04999999999999716,0.001,0.001,0,0
Brent-F,USD,100,0.01,3,100,0.01,1,5000,1,0.05000000000000426,0.001,0.001,0,0
AAXJ.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.009999999999990905,0.01,0.01,-6.23,1.08
ACWI.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.009999999999990905,0.01,0.01,-6.23,1.13
ARKF.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.490000000000002,0.01,0.01,-6.23,1.23
ARKK.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.01999999999999602,0.01,0.01,-6.23,1.23
ARKW.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.7800000000000011,0.01,0.01,-6.23,1.23
ARKX.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000001563,0.01,0.01,-6.23,1.23
BRF.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.21999999999999886,0.01,0.01,-6.23,1.08
BUZZ.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.23
CIBR.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.030000000000001137,0.01,0.01,-6.23,1.23
COPX.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.23999999999999488,0.01,0.01,-6.23,1.08
DBA.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,0.23
DIA.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.040000000000020464,0.01,0.01,-6.23,1.13
DVY.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.01999999999998181,0.01,0.01,-6.23,1.13
ECH.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.09999999999999432,0.01,0.01,-6.23,0.93
EFA.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.009999999999990905,0.01,0.01,-6.23,1.13
EIDO.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,0.93
ENZL.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.6300000000000026,0.01,0.01,-6.23,1.08
EPHE.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.8299999999999983,0.01,0.01,-6.23,0.93
EPP.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.03
EPU.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.7800000000000011,0.01,0.01,-6.23,0.93
EWA.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000001563,0.01,0.01,-6.23,1.08
EWC.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.08
EWD.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.07000000000000028,0.01,0.01,-6.23,1.23
EWG.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.13
EWH.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000001563,0.01,0.01,-6.23,1.03
EWM.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000001563,0.01,0.01,-6.23,0.93
EWP.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.08
EWQ.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.020000000000003126,0.01,0.01,-6.23,1.08
EWS.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.03
EWT.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.010000000000005116,0.01,0.01,-6.23,1.03
EWU.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.00999999999999801,0.01,0.01,-6.23,1.13
EWW.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,0.25,0.01,0.01,-6.23,1.08
EWX.US,USD,1,0.1,2,1,0.1,0.1,250,0.1,2.3100000000000023,0.01,0.01,-6.23,1.08
